# 士兰微VS新洁能：功率半导体双强对决
UP: 硬科技公司投研局  时长: 08:45  发布: 2026-08-23  BV: BV1B68p6uEoe
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 各位好
[03:31] 随时都有被剔除
[03:32] 核心供应链的致命风险
[03:34] 跟这种裸奔形成极其惨烈对比的是
[03:38] 士兰微那道重资产的护城河
[03:41] 你看士兰威奇家的极客12英寸硅基产线
[03:44] 现在月产能已经达到了6万片
[03:46] 而且完全满载
[03:48] 利用率直接飙到85%以上
[03:51] 这就是重资产
[03:52] 在建工程转化为量产壁垒的现实威力
[03:56] 当整个行业产能吃紧
[03:58] 大家都在求产能的时候
[03:59] 只有拥有全闪电自建厂的IDM企业
[04:02] 才有资格向顶级大客户拍出那份铁大的产能
[04:06] 保工承购
[04:07] 在硬科技的深水区里
[04:09] 对产能和底层工业的绝对控制
[04:12] 就是生死存亡的定价权
[04:14] 没有之一
[04:15] 接下来我们再穿透一层
[04:17] 看看这两家在核心大客户那里的粘性
[04:20] 到底怎么样
[04:21] 在这一点上
[04:22] 新节能的局限性说是可以暴露无遗
[04:26] 它高度依赖什么
[04:27] 中低RSGT和高压超洁mos fit
[04:30] 这种单一的分立器件去切入可获
[04:33] 我告诉你器件结构
[04:36] 你优化的再精妙
[04:37] 也掩盖不了一个冷酷的现实
[04:40] 单一器件面临着行业大厂
[04:43] 极其严重的同质化替代
[04:45] 还有无情的溢价挤压
[04:47] 这种单点突围的脊柱天花板其实已经显现了
[04:50] 在供应链安全面前
[04:52] 客户随时可以也必然会去找成本更低的替代品
[04:56] 你根本防不住
[04:57] 我们再反观士兰微的武器库
[05:00] 人家已经强行砸开了国内主流巨头的垄断层
[05:05] 你看数据
[05:06] 当年IPM模块在白电厂商那里的出货量
[05:10] 超过2.5亿颗
[05:11] 同时呢
[05:12] 最难啃的车规主区SK模块
[05:15] 批量出货突破了100万颗
[05:17] 但这还不是最致命的
[05:19] 最可怕的是什么
[05:21] 是他把自研的32位MCU功率器件
[05:24] 电源IC和模块彻底打包
[05:26] 形成了一套极其强悍的MCU加功率加电源
[05:30] IIC加模块系统及全方案交钥匙能力
[05:34] 这种系统方案一旦打入课后底层
[05:36] 那就是物理级别的深度绑定啊
[05:39] 这种恐怖的粘性
[05:40] 绝不是任何一家做单点设计的fabulous
[05:43] 能企及的
[05:44] 这完全就是对客户供应链的降维打击
[05:47] 所以把刚才审计的这些数据
[05:49] 落到这张全面对比矩阵上
[05:52] 事实就已经极其清晰了
[05:54] 没错
[05:55] 新节能在短期成本控制和无大额债务的
[05:58] 绝对安全上确实占优
[06:00] 但是在公司定位行业周期受益度
[06:04] 产品结构
[06:05] 技术路线以及长期成长性
[06:07] 这些真正决定生死的战略维度上
[06:10] 士兰微的平台型IDM结构
[06:12] 对新节能形成了碾压式的优势
[06:15] 各位千万千万不要看轻制造壁垒
[06:18] 也别被轻资产那点表面的繁荣给骗了
[06:21] 重资产模式
[06:22] 那是用真金白银砸出来的
[06:24] 技术变现确定性
[06:26] 是能扛过一轮一轮产业周期波动的定海神针
[06:30] 当然了
[06:31] 作为一名极其苛刻的战略审查官
[06:37] 史兰威的债务包袱
[06:39] 确实重资产负债率逼近46%
[06:42] 每年还要承担极其庞大的固定资产折旧费用
[06:46] 大量重资产在建工程转固
[06:49] 这对短期的净利润压制是非常残忍的
[06:53] 对比之下
[06:54] 新洁能资产负债率不到20%
[06:56] 账面上全都是钱
[06:58] 抗风险底线非常高
[07:00] 在这一点上
[07:01] 重资产绝对是一把悬在头顶的双刃剑
[07:05] 撑不住这种财务重压的企业必然会死在黎明前
[07:09] 但是麻烦大家搞清楚一件事
[07:12] 在绝对满载的产能面前
[07:14] 那些折旧在当下不过就是一种纸面成本
[07:18] 我们需要穿透表面
[07:19] 去看的是这家公司真正的底层造血能力
[07:23] 新节能的扣非净利是3.48亿元
[07:26] 士兰微呢
[07:27] 虽然表面的扣非净利被巨额折旧
[07:30] 压制在了3.72亿元
[07:32] 但你看看他的经营性现金流
[07:34] 直接爆发到了令人颤栗的14.98亿元
[07:38] 这说明什么
[07:39] 这说明士兰威内部强大的造血机器
[07:41] 已经完全能够覆盖它
[07:43] 庞大的债务和持续扩产的需求
[07:46] 那些天量的折旧
[07:47] 正在被强劲的现金流一口口吃掉
[07:50] 这台重资产机器的财务拐点
[07:52] 其实已经正式确立了
[07:54] 好了各位
[07:55] 这就是我今天给出的最终战略裁决
[07:58] 别管一家FABULANCE设计公司的短期财务报表
[08:01] 被修饰得多好看
[08:03] 只要你受制于晶圆代工产能分配的现实
[08:05] 你的体量天花板就永远是被锁死的
[08:09] 在咱们半导体国产替代
[08:11] 全面挺进中道晶圆制造深水区的这个生死关头
[08:14] 只有像士兰微这种敢于下场自建全善夜叉
[08:18] 硬抗庞大折旧阵痛的本土功率和模拟IDM
[08:22] 才配得上基础设施这四个字
[08:24] 也只有他们才能在未来收割产业周期里
[08:27] 最丰厚的长线溢价
[08:29] 资本市场从不相信中庸的平衡
[08:32] 重资产的护城河才是唯一安全的真理
[08:35] 那么最后问各位一个问题
[08:36] 你手里的资本究竟是在为短期的财务数字买单
[08:40] 还是在为长期的产业基石下注呢
[08:43] 今天的硬核审计到此结束
