# 士兰微业绩增速难以支撑130倍的市盈率
UP: 涂山资本-收徒中  时长: 08:47  发布: 2026-08-23  BV: BV18A8U68EwJ
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 大家好
[04:32] 公司的成本压力正在逐步缓解
[04:34] 叠加2026年3月起
[04:36] 公司多款产品上调10%价格
[04:39] 盈利能力有望进一步修复
[04:41] 成长逻辑清晰
[04:42] 为了让大家更好了解我们数据
[04:45] 统计完了呀
[04:46] 他这个现金流是存不住的
[04:49] 然后呢利润情况其实也还行
[04:53] 他的增速降下来了
[04:54] 今年的业绩其实是不够看的
[04:57] 今年中报的利润增长直应仅只有2.7%
[05:00] 然而它的市盈率高达130啊
[05:03] 我们deep seek看看他的主要意思吧
[05:05] 他讲半天我没听出来是啥呀
[05:08] 有点是因为可能离我们比较远啊
[05:13] 离我们日常生活有点远
[05:15] 国内主要的综合型半导体设计与制造
[05:19] IDMIDM是个啥
[05:22] 核心业务覆盖集成电路
[05:24] 半导体
[05:25] 分立器件LED3大类
[05:28] 我记得是代工吗
[05:29] 制造商
[05:30] 集成器件
[05:31] 制造商重最重资产也是最全能的一种商业模式
[05:36] 重资产就意味着周期啊
[05:38] 产业型周期股有写设计芯片
[05:43] 有指芯片制造的这个全包了英特尔和士兰微
[05:52] 还是一个档次的IDM模式
[05:55] 包含了设计制造
[05:57] 封装销售
[05:59] 产能自主
[05:59] 不怕是卡脖子
[06:01] 但是他的呃
[06:03] 他的这个技术应该没人家厉害
[06:06] 代价就是太重了
[06:07] 建一条12英寸的重
[06:11] 动辄上百亿投资
[06:14] 目前他规划了个200亿项目
[06:16] 折旧成本极高
[06:17] 风险极大
[06:18] 士南威走IDM路线
[06:21] 就是目前最牛逼的IDM
[06:23] 就是因为他提到的这个
[06:25] 英特尔和英特尔的日子都不好过
[06:28] 下定决心把设计和制造牢牢攥在手里
[06:31] 不过这是我们的国情啊
[06:33] 我们不能依依赖外部
[06:36] 人家美国它是他就把他这个自己的全球化
[06:41] 全球化的布局这个优势给利用上了
[06:45] 但是他怎么他不能合作嘛
[06:47] 我们中国这也实上也是地大物博呀
[06:52] 人也多
[06:53] 你能不能像美国那样分开各做各的呢
[06:57] 或者说是不是我们中国人就是有有利润
[07:02] 不愿意和别人分享的
[07:03] 我们的文化可能和他们有区别有区别
[07:06] 总之从利润这个peg的角度来看
[07:10] 目前是高估的状态呀
[07:12] 比如说他的中报的利润是不够看的哦
[07:16] 我们分开单季度来看的话
[07:18] 一季度的利润是1.5个亿
[07:21] 二季度仅仅只有一点一个亿了
[07:23] 他利润是走下坡路的预告估算呃
[07:27] 其实是挺危险的
[07:30] 我们跳过吧
[07:31] 他们应该是市场在炒作什么吧
[07:35] 有个异动
[07:36] 解读碳化硅吗
[07:38] sic碳化硅加半导体功率半导体IDM模式
[07:45] 其实这个模式其实并不是很好啊
[07:50] 重资产的话
[07:51] 主流牛逼的国际牛逼的
[07:54] 他们都是分开做
[07:55] 各做各的
[07:56] 各做一个自己的一个环节
[07:58] 证券时报公司
[08:00] 获得德国莱茵颁发的这个多项认证
[08:06] 具备车规级的实践潜力
[08:09] 所以是炒作的这个预期是吗
[08:12] 我们看这家公司应该说硬实力还是有的
[08:16] 科技含量看高不高
[08:17] 他这个研研发费费
[08:19] 研发费用率6.72%
[08:22] 那么再看看营收情况呢
[08:24] 营收情况倒是一直在增增长
[08:27] 但是我觉得还是配不上131
[08:31] 如此之高的市盈率啊
[08:33] 你这个营收增长情况
[08:37] 近5年也最多是10%几到20%左右
[08:40] 你也配不上嗯
[08:42] 我认为是配不上130倍的市盈率的好
[08:46] 我们跳过吧
