# 士兰微VS扬杰科技：功率半导体双雄PK
UP: 硬科技公司投研局  时长: 07:20  发布: 2026-08-23  BV: BV17C8p6TEVf
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 抛开那些毫无意义的宏观废话吧
[03:03] 2025年的综合毛利率
[03:05] 砸到了18.83%
[03:07] 作为对比
[03:09] 杨杰科技凭借精益管理和对资本投入
[03:12] 产出比的严苛把控
[03:14] 轻松捍卫了高达30%
[03:16] 3.79的综合毛利率
[03:18] 在逆风局里可谓是稳如泰山
[03:22] 第三部分敏捷海外善金牛
[03:25] 在当前大环境下
[03:26] 地缘敏捷度直接决定了你的财务生死
[03:30] 杨杰科技非常聪明地
[03:32] 避开了单一市场的极度内卷
[03:35] 以及那些不可控的地缘关税风险
[03:38] 他们在全球基金地推行本土化交付
[03:42] 事实证明
[03:43] 敏捷性加上海外布局
[03:45] 才是抗击周期与地缘摩擦的终极防御武器
[03:49] 他们的战略执行堪称冷酷而完美
[03:52] 2025年
[03:53] 杨洁科技的外销收入超过了16.46元
[03:57] 占比高达23.09%
[04:00] 这些可都是高毛利的优质海外订单啊
[04:03] 再配合上他们
[04:04] 越南封装基地每月高达12亿只的庞大产能
[04:08] 生生给自己构建了一个
[04:10] 完全不受单一市场裹挟的全球化现金牛生态
[04:14] 第四部分
[04:16] 研发水分与债务
[04:19] 让我们狠点心
[04:20] 撕开财报账面的伪装
[04:23] 看看里面到底装的是什么
[04:25] 作为CSO
[04:26] 我审视资产负债表
[04:28] 从不留情
[04:29] 士兰微52.10percent的资产负债率
[04:33] 赤裸裸地暴露了在重资产狂飙下
[04:36] 他们承受着多么高昂的财务利息支出压力
[04:40] 而央姐科技呢
[04:41] 始终把资产负债率死死按在35~40
[04:45] percent这个极其健康的防御区间内
[04:48] 财务底盘坚不可摧零
[04:50] 各位这才是高质量资产最硬核的底牌
[04:55] 杨杰科技的研发投入
[05:00] 杨杰科技4.71亿的研发投入
[05:03] 每一分钱都在当期全额直接费用化
[05:07] 这意味着什么
[05:09] 这意味着账面上绝对没有任何隐藏的在建工程
[05:13] 或者随时会引爆的折旧地雷
[05:16] 这跟士兰为高达11.72亿元
[05:19] 营收占8.98%的庞大研发开支
[05:22] 形成了极其刺眼的对比
[05:24] 第五部分周期杠杆压力测试
[05:28] 我们来看看重资产模式下那种极端的豪赌
[05:33] 我们必须承认
[05:34] 重资产是一把双刃剑
[05:36] 如果半导体周期真的进入满载上行期
[05:40] 试栏为12英寸大晶圆
[05:41] 切片的规模效应就会被触发
[05:44] 这会释放出惊人的周期经营杠杆
[05:47] 一旦产线满载
[05:48] 摊薄了巨额折旧利润
[05:50] 确实会呈现几何级的爆破式反弹
[05:54] 但这绝对是一场高贝塔值的危险豪赌
[05:58] 资本市场看得一清二楚
[06:00] 压住士兰微
[06:01] 你就是在压住极其陡峭的周期性业绩修复
[06:05] 这完全依赖于工艺量产瓶颈的突破
[06:09] 以及产线满载的完美预期
[06:12] 一旦宏观需求拉跨或者周期上行受阻
[06:15] 迎接你的将是深不见底的折旧深渊
[06:18] 和剧烈的下行波动
[06:21] 第六部分
[06:22] 首席战略官裁决
[06:25] 基于刚才冷酷的财务与产能穿透
[06:28] 是时候给出结论了
[06:31] 我的最终裁决
[06:32] 任何有修士
[06:33] 士兰微就是一个典型的高贝塔重资产标的
[06:38] 他必须死死依赖周期上行与产线满载摊薄
[06:43] 才能勉强修复目前极其糟糕的净利率
[06:47] 而杨杰科技则是一个极其罕见的兼具防御红利
[06:51] 极高分红能力
[06:53] 且零研发水分的高质量全球化标的
[06:56] 作为战略投资者
[06:58] 在这个动荡的宏观环境里
[07:00] 你必须扪心自问
[07:02] 当行业的大潮退去
[07:04] 你是愿意手里抱着不断贬值的重资产设备
[07:07] 苦苦等待究其的救赎
[07:10] 还是希望握着极其充沛
[07:12] 流动性极强且抗击穿的全球化现金流
[07:16] 这个问题的答案就是你的生存底线
