# 主力高度控盘：士兰微涨停 功率半导体+IDM模式+U型反转 20260822周六
UP: 波波大帅2025  时长: 08:23  发布: 2026-08-22  BV: BV1Up8m6oEFy
轨: 中文(ai-zh, AI)  版本来源: external
[00:02] 大家好
[07:06] 因为这里有压力是吧
[07:07] 所以说啊接下来啊
[07:09] 我们U的点一定要在低位的时候
[07:13] 就去右这个示范维
[07:14] 而且反弹的幅度确实不算太好是吧
[07:17] 因为它本身价格高
[07:19] 市值大
[07:20] 你指望啊这个优势完整
[07:22] 一下子优起来不太现实啊
[07:25] 小盘的个股优得快是吧啊
[07:28] 大盘子的个股啊相对是难度更大一些
[07:32] 但是这个士兰微啊
[07:33] 之前确实被并没有怎么上涨是吧
[07:36] 贴到这个年限去参与啊
[07:38] 这个年限这个位置去参与啊
[07:41] 是可以做出一些效果啊
[07:43] 这就是我们啊
[07:44] 就说我们做到的股票和没做到的股票
[07:47] 都要去思考一个问题
[07:49] 这个个股的先手在哪里是吧
[07:51] 这个个股的先手在哪里
[07:52] 我们可以看到这个士兰微的一个做盘是吧
[07:57] 啊就是说这个要等这个消失掉啊
[08:01] 而且这个视蓝莓30多个点的这个上涨
[08:03] 而且要花的时间啊
[08:05] 几个月是吧
[08:06] 就是说啊尽量去做到强反弹啊
[08:09] 强反弹的个股是小盘或者是龙头
