# 士兰微VS华微电子：功率半导体双雄对决
UP: 硬科技公司投研局  时长: 08:05  发布: 2026-08-24  BV: BV1fr8e6TEFz
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 各位我是你们的首席战略官
[02:37] 在硬科技赛道没有前瞻性的高阶布局
[02:40] 等待华为电子的就只有被主流大厂彻底边缘化
[02:44] 这一条思路
[02:45] 感受一下这种极度残忍的资本开支断层吧
[02:50] 士兰微毫不手软
[02:51] 直接砸下120亿元
[02:53] 去搞厦门八英寸碳化硅产线
[02:56] 一期42万片年产能
[02:58] 已经在2026年初成功通现了
[03:01] 不仅如此
[03:02] 还用200亿重仓12英寸高端模拟集成电路
[03:06] 华为电子呢研发再投入受到严重限制
[03:10] 只能靠着那些老旧的六英寸
[03:12] 八英寸成熟硅基产线苟延残喘
[03:15] 还是那句话
[03:16] 没有大资本跨越
[03:17] 你连上台桌的资格都没有
[03:20] 第二部分
[03:21] 百亿产能与红海挣扎
[03:24] 那么巨额资本砸下去
[03:27] 换来了什么
[03:28] 士兰微庞大的高附加值产品矩阵
[03:31] 硬是砸出了极强的规模效应
[03:33] 核心产线的满载运转
[03:35] 正在极度有效地摊薄巨额的固定资产折旧
[03:40] 反过来看华为电子
[03:41] 他那点可怜的编剧优势
[03:43] 正在被高昂的内部合规成本疯狂反噬
[03:47] 在这里市场分儿绝不撒谎
[03:51] 士兰微的核心白电IPM模块
[03:54] 全年出货量直接突破2.5亿颗
[03:58] 在盐的DRMOS芯片
[04:00] 更是像尖刀一样切入了顶级的AI服务器供应链
[04:05] 拿到了极高的客户粘性和真正的定价权
[04:09] 华微电子呢只能在电视电源
[04:12] 普通充电桩
[04:13] 这些对价格极度敏感的中低端分立器件
[04:17] 红海里流着血死撑
[04:19] 第三部分
[04:21] 财务造血与折旧重压
[04:23] 撕开所有的伪装
[04:25] 咱们透视一下真实现金流的质感
[04:28] 战力差距悬殊到什么地步呢
[04:31] 士兰微
[04:32] 2025年的营收轰出了130.52亿元
[04:36] 同比增长16.32%
[04:39] 彻底跨越了百亿规模的门槛
[04:42] 而华为电子的收入规模
[04:44] 却被他那些落后的传统产线死死的锁住了上限
[04:48] 听好了
[04:49] 作为首席战略官
[04:51] 我根本不在乎石兰威因为重资本转固
[04:54] 导致短期净利润率被压制到仅仅3.06帕
[04:59] 我要看的是什么
[05:00] 是它的归母净利润依然达到了3.99亿元
[05:04] 大增81.27帕
[05:06] 扣非归母净利也有3.72亿元
[05:10] 最核心的底牌是在高CAPEX
[05:13] 导致每年折旧摊销极其沉重的压迫下
[05:16] 他的主营业务
[05:17] 硬生生挤出了前面提到的14.98亿元
[05:21] 经营性现金流
[05:22] 这证明了他们的高阶产能是真正卖得出去
[05:26] 能把真金白银收回来的优质资产
[05:29] 第四部分治理污点与合规深渊
[05:32] 现在我们将无情地揭开
[05:35] 华为电子的企业信用底盘
[05:37] 控股股东长期非经营性占用公司资金
[05:40] 这个历史遗留问题
[05:42] 在2024年底
[05:43] 堆出了一个14.9亿元的未还余额
[05:47] 直接后果就是2025年初
[05:51] 狠狠拍下三七千八百万元的行政处罚
[05:54] 因为极其恶劣的财务合规风险
[05:56] 他一度被挂上退市风险警示的牌子
[05:59] 以致拖到2026年5月才勉强撤休
[06:02] 各位这是一个彻头彻尾的致旅黑洞
[06:05] 绝对绝对不要被他们最近撤销退市风险警示
[06:11] 这种表面利好给蒙蔽了双眼
[06:14] 研报里的警告
[06:16] 白纸黑字
[06:17] 这种信息披露违法违规历史意味着
[06:22] 华为电子
[06:23] 接下来将面临
[06:24] 漫长且巨额的投资者民事诉讼索赔
[06:29] 这种高危的隐性债务和现金流失风险
[06:33] 足以将任何关于他估值修复的虚幻叙事
[06:38] 彻底粉碎
[06:39] 终于来到第五部分
[06:41] 首席战略官终局定论
[06:45] 在无情穿透了所有的底层资产后
[06:49] 这是我的最终战略抉择
[06:51] 定论一
[06:52] 士兰微完全可以定性为精准
[06:55] 契合国产替代主线的核心科技成长型资产
[07:00] 他依靠大规模的前瞻性资本开支
[07:03] 成功完成了从传统分立器件向高端平
[07:07] 台型IDM的惊险跃迁
[07:10] 他手里握着高壁垒的产能
[07:12] 已经完全具备了主导AI算力
[07:15] 与汽车电气化时代的硬核实力
[07:18] 定论二
[07:19] 华为电子必须被无情定性为
[07:23] 劣迹斑斑的空客资产
[07:26] 严重缺乏高阶制造产能的支撑
[07:29] 再加上不可逆的公司治理污点
[07:33] 让它仅仅沦为一个只具备超跌事件驱动性质的
[07:38] 短期危险赌博
[07:40] 在重资产盐和硅的半导体终局博弈中
[07:44] 最后我留给各位一个无法回避的灵魂拷问
[07:48] 在你们的资产配置表里
[07:51] 你究竟是要投资那种
[07:53] 能够抵御一切行业风暴的真实自由现金流
[07:57] 还是打算为一个积重难返
[07:59] 充满索赔深渊的治理黑洞买单
[08:02] 本次战略审计到此结束
