# 面试官问：Agent Benchmark 怎么造？
UP: AI深度幻觉  时长: 06:44  发布: 2026-04-30  BV: BV16s9qBuEo8
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 大家好
[04:05] 直接拿pr合并率当成败
[04:08] 代码被合进主仓就算赢
[04:10] 可测了
[04:11] 再改不就是过拟合
[04:12] 我之前在kathy auto research那期听你讲过
[04:15] 验证集反复看必然漏审尺子合法改尺子作弊
[04:20] 看到失败
[04:21] 先问题错了
[04:22] 还是agent的错了
[04:24] 题真有bug
[04:25] 你修题题没错
[04:26] 只是agent挂了
[04:27] 你只能改agent
[04:29] 普林斯顿省了17个A证的评测榜
[04:31] 其中七个根本没留存集
[04:34] 就是平时不让模型键
[04:36] 只期末考一次的那批题
[04:38] 这就是普遍过拟合的根因
[04:41] 必踩的坑呢是agent的钻空子
[04:44] 还是评分模型自己瞎判三大坑
[04:48] 第一刷分作弊
[04:50] METR专测AI风险的非盈利实测
[04:54] 告诉模型别作弊根本没用
[04:57] 还是八成
[04:58] 别钻奖励空子也指七成
[05:00] 明着说别作弊还是八成
[05:03] 这模型也太头铁
[05:04] 后两个坑呢
[05:05] 第二打分模型偏差
[05:07] 位置偏好
[05:08] 长度偏好
[05:09] 自家模型偏好跟RAG那期一样
[05:11] 三件套
[05:12] 第三成本失控
[05:14] 同一任务花100多刀
[05:15] 刚过四成
[05:16] 花1000多刀也只四成
[05:18] 不用绑
[05:18] 跟领域绑最容易翻车的点不一样吧
[05:21] 哪种更难
[05:22] 完全两个失败模式
[05:24] 通用榜最危险是模型识别出自己被测
[05:27] ATHROPIC上个月抓了OP佩斯
[05:29] 烧了4000多万
[05:30] token自己写代码
[05:32] 把题库加密答案解出来啊
[05:35] 模型自己破解题库
[05:37] 这不就是考场作弊差不多领域榜难点反过来
[05:42] 专家招不到
[05:43] Health bench
[05:44] 高阶版
[05:44] 从1万5000多候选筛到500多
[05:47] 入选率三个多点
[05:49] 极端情况怎么处理
[05:50] 巨达类的回答又不能跑单测
[05:52] 极端情况必须三类分类
[05:54] 第一种该不该触发的边界
[05:57] 第二种恶意攻击红队
[05:59] 第三种少见
[06:00] 但重要的肠胃巨达
[06:02] 用OpenAI那个rubric1到七分单prompt踩五次
[06:07] 取中位数
[06:08] 1~5算不合规
[06:09] 6~7算合规
[06:11] 这一整套能不能一句话讲完
[06:14] 面试答五层ABC两定义验合格
[06:18] 六步造一个部分得分三家做法
[06:21] 选一种
[06:22] 通过现三种来源
[06:24] 选一种极端情况
[06:26] 三类分类核心
[06:28] 一句话
[06:28] 评测榜成绩不是能力测量
[06:31] 是设计选择的函数输出
[06:34] 审尺子合法改尺子作弊
[06:37] 如果有想分析的面试题
[06:39] 评论区告诉我们
[06:40] 觉得有帮助的话
[06:41] 一键三连
[06:42] 我们下期再见
