# 面试官问：如何评估RAG系统的效果？
UP: AI深度幻觉  时长: 12:23  发布: 2026-04-03  BV: BV1b69gB5E3h
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 今天这道面试题是如何评估RAG系统的效果
[07:39] 覆盖常见问题
[07:40] 多文档综合题
[07:42] 知识库里没答案的题
[07:44] 还有信息过时或矛盾的题
[07:47] 明白了
[07:48] REGAS是自动评指标
[07:50] 黄金测试集是分层诊断用的
[07:52] 两个东西不矛盾
[07:54] 有了测试集之后呢
[07:56] 第一层单独测retriever给他一个问题
[08:00] 看返回的top k文档跟测试集里标注的正确文档对比
[08:05] 这一步完全不涉及LLM用的是传统信息检索指标
[08:09] Precision at k
[08:11] 看top k里有多少是相关的
[08:13] record at k看所有相关文档被找到了几个
[08:17] MRR看第一个相关文档排第几NDCG考虑排序质量
[08:22] 第二层呢generator怎么单独测
[08:25] 它不是依赖retriever给他文档吗
[08:28] 第二层单独测generator
[08:31] 关键操作是跳过retrieval
[08:33] 直接把测试集里标注的完美文档喂给generator看他的输出质量
[08:38] 用faithfulness和answer
[08:41] relevance这些指标这样做的意义在于排除了检索错误的干扰
[08:45] 如果generator在拿到完美上下文的情况下仍然出错
[08:49] 说明问题在深沉段提示词不好
[08:52] 或者LLM能力不足
[08:54] 跟检索无关
[08:55] 聪明把变量控制住了
[08:58] 那第三层端到端就是把retriever接回去
[09:01] 跑真实管线对
[09:03] 让retriever真实检索加generator真实生成
[09:07] 用前两层的所有指标一起评
[09:09] 然后用一个诊断矩阵来定位问题
[09:12] 如果端到端差
[09:13] 但retriever和generator单侧都好
[09:15] 说明问题在两者交互
[09:17] 比如上下文被截断了
[09:19] 端到端差加retriever差
[09:21] 加generator好
[09:23] 就是检索问题去调embedding或chunking
[09:26] 端到端差加retriever好加generator差就是生成问题
[09:31] 调prompt或换LLM这个诊断矩阵很实用
[09:35] 那工具方面呢
[09:37] 面试官如果问你用什么工具做这些评估
[09:40] 这里要诚实
[09:42] 整个RAG评估领域都还不成熟
[09:45] 唉目前最常被提到的是ragas和deep evil
[09:49] RUGAS有1万3000多个github star是行业默认选择
[09:53] 但注意默认不等于成熟
[09:56] 开发者社区对他吐槽不少
[09:59] 让猴子管动物园
[10:01] deep evil有1万4000多star增长最快
[10:04] 月下载超过250万
[10:06] 杀手特性是原生CICD集成
[10:10] 说白了就是没有银弹
[10:12] 那面试的时候被问到用什么工具
[10:14] 要不要直接这么说
[10:16] 建议这么打
[10:17] 真正靠谱的方案不是依赖单一框架
[10:20] 而是三层叠加
[10:21] 第一层用rag或deep evil做自动化初筛
[10:25] 快速发现明显问题
[10:27] 第二层积累领域定制测试集
[10:29] 把真实的失败case不断加进去
[10:31] 这才是团队最宝贵的资产
[10:34] 第三层是人工抽检
[10:36] 高风险系统不可省略
[10:38] 面试官听到这个会觉得你确实做过
[10:41] 不是纸上谈兵
[10:42] 那给大家总结一下面试被问到这题回答的框架是什么
[10:48] 面试回答可以按五个层次展开
[10:50] 第一层先说评估维度
[10:53] 忠实度
[10:54] 答案相关性
[10:55] 上下文相关性三大核心维度
[10:58] 第二层说方法论
[11:00] 分别评retriever和generator
[11:03] 在端到端平附带诊断矩阵
[11:06] 第三层承认LLM s judge的局限
[11:10] 自我偏好
[11:11] 位置偏差以及缓解手段
[11:13] 第四层提工具
[11:15] 但要诚实
[11:16] REGAS做快速实验
[11:17] deep evil做CICD门禁
[11:19] 但都不是赢的
[11:21] 第五层也是加分项
[11:23] 提到真正成熟的方案是自动化加定制测试集加人工校准
[11:27] 三层叠加
[11:28] 达到第三层就及格了
[11:29] 达到第五层就是优秀
[11:31] 最后再追一个问题
[11:33] IAG的七个失败模式
[11:35] 你没展开讲
[11:36] 这个面试会问吗
[11:38] 通常不会直接问
[11:39] 但如果你主动提到
[11:41] 会非常加分
[11:42] 快速说一下
[11:43] 学术上总结了七个失败点
[11:45] 知识库里根本没答案
[11:47] 相关文档排名太低
[11:48] 没进top k上下文太长
[11:51] 被截断
[11:51] 答案在文档里
[11:53] 但LLM没成功提取出来
[11:55] 格式不对
[11:56] 力度不当
[11:57] 回答不完整
[11:58] 关键洞察是没有任何单一指标能覆盖所有失败模式
[12:03] 这就是为什么需要多指标组合加分层测试的原因
[12:07] 好这一期非常干货
[12:10] 如何评估RAG系统的效果
[12:12] 从维度到方法到工具到面试答题框架全都有了
[12:17] 如果觉得有帮助
[12:19] 一键三连支持一下
[12:20] 我们下期见
