# 面试官问：Dense 和 MoE 区别在哪？
UP: AI深度幻觉  时长: 09:00  发布: 2026-04-30  BV: BV1o49YBHEFd
轨: 中文(ai-zh, AI)  版本来源: external
[00:00] 大家好
[04:23] 那个30B到A3B是MOE48层
[04:27] 隐层维度2000出头
[04:28] 内部维度700度dance
[04:30] 整FFN比单专家差300倍参数
[04:33] 这怎么塞下三笔参数
[04:35] 因为MOE把参数预算全摊到专家池里
[04:39] 30B总参里128个
[04:41] 专家占了90%以上
[04:43] 留给主干的就一点点
[04:45] dance不一样
[04:46] dance每个参数都必须激活
[04:49] 要装32B就得把隐藏维度拉到5000多
[04:52] 那EMOI为啥不能也把影层拉大
[04:55] 反正激活算力小
[04:57] 好问题两个原因
[04:59] 一是MOE那块注意力还是death的
[05:02] 每个字都得走完整的注意力计算
[05:05] 没切专家
[05:06] 所以隐藏越大
[05:07] 注意力越吃
[05:08] 激活预算
[05:09] 二是训练时每个字要把隐藏维度的向量发去
[05:14] 跨卡的专家
[05:16] 隐层越大
[05:17] 通信代价越高
[05:18] 帕卡专家不在一张显卡上
[05:22] 最反直觉的是deep sk v
[05:24] 三六千七百一十亿旗舰单
[05:27] 专家的内部维度只有2000出头
[05:29] 比刚才那个QN2.532
[05:31] b dance的2万7000多还小十几倍
[05:34] 所以大模型等于大网络
[05:36] 这个直觉错了对
[05:38] 前沿模拟完全错
[05:40] 第四层负载均衡
[05:42] 这是模拟训练的老问题
[05:44] 机路由器训练初期会偏心热门专家过载
[05:48] 冷门专家学不到东西
[05:50] 从2020~2024
[05:52] 大致演化了四代方案
[05:54] 四代给我从头捋一遍吧
[05:56] 第一代是j shard和switch transformer
[05:59] 都是google那批MOE电机论文加辅助损失
[06:04] 主损失上叠一项罚款
[06:06] 逼路由器均匀分配系数
[06:08] 0.01
[06:09] 听起来这罚款会跟主任务打架呀
[06:12] 对会拖累治疗一两个点
[06:14] 第二代s st moe
[06:16] 是google2022年那篇稳定MOE训练的工作
[06:19] 加了一个新损失
[06:20] 他们发现路由器输出的数值会爆炸
[06:23] 像音响功率推太大
[06:25] 会破音
[06:26] 要把数值规模压住
[06:27] 训练才稳
[06:29] 第三代是deep sick moe
[06:31] 把专家切得更细
[06:32] 加共享专家
[06:34] 专家细分后
[06:35] 单字用的专家变多
[06:36] 统计上更难极端不均
[06:38] 间接缓解
[06:39] 那第四代怎么解决前面那个罚款
[06:42] 拖累质量的问题
[06:43] 第四代是deep sk v3的无辅助损失方案
[06:46] 给每个专家加一个偏置标量
[06:49] 这个标量不进梯度反向传播
[06:51] 更像恒温器
[06:52] 超载的减一点
[06:53] 欠载的加一点
[06:54] 等一下
[06:56] 偏执不进梯度
[06:58] 深度学习不是讲究全程让loss反上船吗
[07:01] 这绕过去了
[07:02] 你说对了
[07:04] 这是这个设计最反正统的地方
[07:07] 他承认有些事用规则做比让模型学更高效
[07:12] 实验显示换回辅助损失会持续掉顶
[07:16] 这是负载均衡这个子问题上
[07:18] 目前主流旗舰的首选方案
[07:21] 最后聊行业趋势前沿
[07:23] 2000亿以上旗舰几乎百分之百切MOE
[07:27] 还有dance的反例吗
[07:29] 旗舰层基本没有了
[07:31] 但有个有意思的现象
[07:32] QN双轨制
[07:33] 同一个团队旗舰是MOE小尺寸全是death
[07:37] 而且QN3这一代里
[07:39] 0.6B到14B这几个dance
[07:41] 都是从旗舰蒸馏出来的
[07:44] teacher可以是235B那个ME
[07:46] 也可以是QN332b death
[07:49] QN332B自己反而是teacher没被蒸馏
[07:52] 所以dance没死
[07:54] 只是换了岗位
[07:55] 完全对
[07:56] 还有一个最近的反例
[07:58] 前几天QIN3.627B是dance
[08:01] 在编程基准上反超了自家397B的MOE
[08:05] 一个27b dance打397BMOE
[08:10] 再补一个反制约点
[08:11] 32b dance
[08:12] 推长上下文反而比30BMOE更吃显存
[08:16] 因为KV缓存就是模型给每个字存的上下文
[08:19] 记一条
[08:20] 跟隐层维度和层数成正比
[08:23] dance那边5000多乘64层
[08:25] MOE这边2000出头乘48层差好几倍
[08:29] 这完全反直觉
[08:31] 所以单词也不是全面占优对
[08:34] 所以面试官追问为什么death还活着
[08:37] 正确答案不是省显存
[08:39] 是小模型
[08:40] 通信开销吃掉算力优势加特定任务
[08:44] death更稳好
[08:46] 今天聊了四层算例账
[08:47] MOE是不是次有产物
[08:49] 相同参数量架构差异
[08:51] 负载均衡
[08:52] 四代演化
[08:53] 如果你有啥想让我们分析的面试题
[08:55] 评论区告诉我们觉得有帮助的话
[08:57] 一键三连
[08:58] 我们下期再见
